CAMIS,DBA,Lat,Lng,Cuisine,Grade
41627949,ALGONQUIN HOTEL/BLUE BAR,40.756047,-73.98232,American,A
40944872,40/40 CLUB,40.742975,-73.989276,American,A
40380628,PISA PIZZERIA,40.7011542,-73.8881489,Pizza/Italian,A
41612260,TROPICAL RESTAURANT,40.692571,-73.855658,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",B
50066384,MARGHERITA PIZZERIA & CROWN FRIED CHICKEN,39.9485288,-75.1441347,Chicken,B
50046872,DUNKIN DONUTS,40.7782324,-73.9810984,Donuts,A
41083366,TRINI ROTI HOUSE AND BAKERY,40.66397,-73.924843,Caribbean,A
41490544,BAR PITTI,40.7290315,-74.0021248,Italian,A
41445485,OCCASIONS BANQUET AND CATERING HALL,40.6810663,-73.7650949,American,A
41569737,SAGAR CHINESE,40.743878,-73.718355,Chinese,A
40759930,BELLA NAPOLI,40.900934,-73.861807,Pizza,A
50071450,BUSHWICK TACO COMPANY,40.6920503,-73.9061058,Mexican,A
50054726,W & Y BAKERY,37.418191,-95.6818343,Bakery,A
50054137,FORDHAM U - COSI AT CAMPBELL HALL,40.8620404,-73.8856987,CoffeeTea,A
41343921,KOUROS BAY DINER,40.5898705,-73.939661,American,A
40736140,STARBUCKS,40.7613252,-73.9690297,CoffeeTea,A
50058715,JAMBAJUICE OF STATEN ISLAND,40.542065,-74.207343,"Juice, Smoothies, Fruit Salads",A
41542191,MY FAMILY PIZZA,40.6345162,-74.1168729,Pizza/Italian,C
40684961,GARDEN CAFE RESTAURANT,40.748262,-73.8791395,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
50000510,JERUSALEM STEAKHOUSE,40.625229,-73.962534,Jewish/Kosher,A
50005672,MAIKLEY CAFE,40.6360575,-74.0086322,Chinese,A
41180537,JOHN HARVARD'S BREWERY & ALE HOUSE,42.5552834,-73.2926774,American,A
50008512,BAKERI,40.7343812,-73.9575198,Bakery,A
50002554,LOS CHUZOS,40.7475403,-73.8866179,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
41287338,CAFE PANINO MUCHO GUSTO,40.7353167,-74.0062297,CoffeeTea,A
50055399,MCDONALD'S,40.7524909,-73.9928743,American,A
41310578,EASTEND BAR & GRILL,40.777291,-73.948845,American,B
41298820,LE PAIN QUOTIDIEN,40.7284824,-74.0079188,Sandwiches,A
40399672,BAGELS & CREAM CAFE,36.1090718,-95.9751773,Bakery,A
41454419,JEUN JU KOREAN RESTAURANT,40.7633236,-73.814119,Korean,A
50052060,GEORGE'S PIZZA,40.8504649,-73.937064,Pizza/Italian,B
41719784,GANGNAM STYLE,40.763422,-73.8140835,Korean,A
40385974,DAKOTA DINER,40.6248047,-74.1485488,American,A
41313540,"DUNKIN' DONUTS, BASKIN ROBBINS",40.7405616,-73.9816593,Donuts,A
40992170,B.A.M. CAFE/GREAT PERFORMANCES,40.6864885,-73.9776488,American,A
50040930,BROOKLYN JAZZ & SPORTS CLUB,40.6786006,-73.9201228,American,A
50003701,MILLER'S ALE HOUSE,40.5751388,-74.1694021,American,A
50054461,SHINY TEA NEW YORK,40.7983067,-73.9694954,CoffeeTea,A
40400561,FORTUNATO BROS CAFE & BAKERY,40.7137213,-73.9461759,Bakery,A
41260944,PLAZA PIAXTLA BAKERY,40.7034666,-73.9085075,Bakery,A
50072950,SZECHUAN MOUNTAIN HOUSE,40.7592837,-73.8326288,Chinese,A
50009657,CASABLANCA GRILL,40.761537,-73.960212,Moroccan,B
50043757,LIN'S GARDEN RESTAURANT,40.8427071,-73.8537226,Asian,B
41509593,MONA LISA PIZZERIA & RISTORANTE,32.9419176,-96.3817476,Pizza/Italian,A
41305392,DUNKIN' DONUTS,40.7089143,-73.8183298,Donuts,A
50012705,HILLSIDE DOSA HUTT,40.7372672,-73.7095946,Vegetarian,A
41530497,SILVER KRUST WEST INDIAN RESTAURANT,40.6771212,-73.7427023,Caribbean,B
50065204,PIE CORPS,40.7231952,-73.9419767,Bakery,B
40391808,IHOP,40.6353331,-73.7404199,Pancakes/Waffles,A
40731196,SUNFLOWER CAFE,40.608222,-73.960216,Jewish/Kosher,A
41297989,DUNKIN' DONUTS,40.8554913,-73.7912557,Donuts,A
40812973,LUNELLA RESTAURANT,40.7200992,-73.9971899,Italian,A
41697802,NEW HOME SING RESTAURANT,40.820665,-73.9550683,Chinese,A
41453377,THREE SONS PIZZERIA,40.7221853,-73.9043958,Pizza/Italian,A
50041363,BAGUETTE EXPRESS,40.6247762,-73.9620896,Mediterranean,A
50055131,FRIENDLY RESTAURANT,40.7560438,-73.9424199,Chinese,A
50001390,PRIK THAI KITCHEN,40.7608873,-73.908988,Thai,A
41029790,COZY CORNER BAR & RESTAURANT,29.6542511,-95.4814874,American,A
50039207,GOURMET SPRING RESTAURANT,40.758489,-73.83469,Chinese,A
40383044,PIZZA WAGON,40.6213163,-74.0265837,Pizza,A
41133582,BLUESPOON COFFEE,40.7143281,-74.0068673,CoffeeTea,A
41454101,FRESCO 57,40.7695464,-73.9884832,American,A
40423364,HOLTERMANN'S BAKERY,40.5645408,-74.1555715,Bakery,A
41394230,EAST SUSHI,40.545468,-74.161814,Japanese,A
50001945,OOKI SUSHI,40.7802711,-73.9526721,Japanese,C
41717640,SOLDIERS CARIBBEAN BUFFET RESTAURANT,40.6707941,-73.9304809,Caribbean,A
50006345,CAFE 2,40.7611203,-73.9769396,American,A
50056272,SPOONS,40.6268673,-73.9471543,Jewish/Kosher,B
40915251,ACOSTA RESTAURANT,40.8003777,-73.9660529,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
41289484,GREEN AND ACKERMAN KOSHER DAIRY RESTAURANT & PIZZA,40.7066051,-73.958733,Jewish/Kosher,A
50050972,DEAR MAMA,40.792141,-73.940656,CoffeeTea,A
40368809,P.J.' S,40.729864,-73.7796435,American,A
50016671,APERITIF,40.7655601,-73.7714169,French,A
50000800,TOSCA CAFE,40.819099,-73.817514,American,A
41542713,BAGEL CAFE,40.7430109,-73.9798502,American,B
41237861,CIPRIANI 42ND STREET,40.7516224,-73.9769433,Italian,A
41487847,TASTE OF ITALY PIZZERIA,40.768974,-73.9250161,Pizza,A
50002105,energy fuel,40.682706,-73.963976,American,A
41645581,MATSU JAPANESE CUISINE,40.7845765,-73.9731926,Japanese,A
50000248,B.B'S PUB AND GRILL,40.7536924,-73.7941883,American,A
41480427,YEMEN CAFE & RESTAURANT,40.6898526,-73.9936946,Middle Eastern,A
41252759,GEORGIA'S EASTSIDE BBQ,40.7221632,-73.9880653,Barbecue,A
41392510,MARIO'S CHICKEN,40.6027044,-73.7503513,American,A
41475945,SZECHUAN GOURMET,40.7656668,-73.9829198,Chinese,B
50010285,FOOLS GOLD,40.723055,-73.989782,American,A
50013910,ERV'S,40.6599019,-73.9609011,American,C
50010974,PEAK THAI,40.7541752,-73.9685051,Thai,A
50032771,WEST SIDE CAFE AND PIZZA,40.778866,-73.982808,American,A
50050852,RETRO FITNESS,40.836654,-73.9226821,"Juice, Smoothies, Fruit Salads",A
40424709,THE CAKE CHEF,40.6129841,-74.1305762,Bakery,C
40850417,THE IRISH PUB,40.7632617,-73.9813565,Irish,A
41634862,WORLD YACHT - ST. CHARLES,40.7617513,-74.0024155,American,A
41679915,LA NUEVA CANASTA,40.5927051,-74.0685486,Mexican,B
41669157,EMPIRE HOUSE CHINESE RESTAURANT,40.6029634,-73.98617,Chinese,A
50052274,RICHARD''S DINER AND CATERING III,40.6729682,-73.9305148,Caribbean,A
41076181,NEW THRIVING RESTAURANT OF GUYANA,40.683167,-73.834376,Chinese,A
41712067,SEASON RESTAURANT,40.5988607,-73.9576082,Chinese,A
50007584,US KENNEDY FRIED CHICKEN AND PIZZA,40.8309749,-73.9009616,Chicken,A
40424972,JACKIE'S WEST INDIAN BAKERY,40.8894376,-73.8433102,Caribbean,A
40597409,STROMBOLI PIZZA,40.7278516,-73.9853674,Pizza,A
41089835,BILL'S BAR,40.6194163,-73.9163186,American,A
50016721,MATCHA CAFE WABI,40.7235456,-73.9829102,CoffeeTea,A
50014302,LIBERTY KENNEDY FRIED CHICKEN & PIZZA,40.6849728,-73.8310765,Chicken,A
50010102,DAIRY QUEEN GRILL & CHILL,37.7418811,-97.2440853,Sandwiches,C
41197352,EL MIRADOR RESTAURANT,40.6423158,-73.9810792,Mexican,A
50011629,NEW ADVENTURE JUICE BAR,40.8784832,-73.9030637,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
41572018,"AIR BAR, NY DELI, TIM HORTONS",40.700207,-73.8081456,American,A
50017307,CHAU DOWN CAFE,40.6897442,-73.9798461,American,A
50059272,SISTERS,40.6828974,-73.9651636,American,A
41542018,PICK & EAT,31.9533411,-97.3093423,American,A
40612297,ISE MENKUI-TEI,40.7633128,-73.9771711,Japanese,A
50005003,DOUGHNUTTERY,40.7424084,-74.0063739,American,A
50032783,GINZA,40.7640174,-73.9670772,Japanese,B
41448361,PATISSERIE DES AMBASSADES,40.8060966,-73.9538151,French,B
50070217,QQ CAFE,40.7135844,-73.9949358,Chinese,A
40852659,CHELSEA SQUARE RESTAURANT,40.746205,-74.001278,American,A
41376798,LA ESPERANZA MEXICAN DELI GROCERY & VEGETABLES,38.5291878,-121.4736535,Mexican,B
50010960,MANHATANVILLE COFFEE,40.8213093,-73.9445339,CoffeeTea,A
50050187,BAREBURGER,40.7564178,-73.9679556,American,A
41679293,AVE COFFEE HOUSE,40.7420126,-73.9197546,American,A
41222245,CAFE GRUMPY,40.7426,-73.9983977,CoffeeTea,A
50015405,LA MASA RESTAURANT,40.847943,-73.855947,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",A
50015384,SUSHI Q JAPANESE RESTAURANT,40.8442145,-73.8303116,Japanese,A
40390232,CHO-SEN GARDEN,40.7319579,-73.8487285,Jewish/Kosher,A
50045129,TWO MAMA EMPANADA RESTAURANT,40.7643879,-73.9886498,Spanish,B
50043455,SUBWAY,40.7903541,-73.9453253,Sandwiches/Salads/Mixed Buffet,A
41705359,AMERICAN CUT,40.760787,-73.970372,American,A
41144043,JIMBO'S HAMBURGER PALACE,40.825718,-73.9492355,American,B
50004613,AMARIN CAFE,40.7234801,-73.9508042,Thai,A
50034411,MARTINIELLO'S III PIZZERIA & ITALIAN RESTAURNT,40.6828922,-73.8510703,Pizza/Italian,A
41695128,COFFEE & CRUMBS,37.2263718,-95.7068184,American,A
41712295,BEN'S PIZZA AND RESTAURANT,40.6264636,-74.0295986,Pizza,A
50035766,SMASHBURGER,40.7479226,-73.9858092,American,A
50015695,STARBUCKS,40.6711129,-73.9576124,CoffeeTea,A
41641709,MAMMA MIA PIZZERIA,40.596534,-73.993945,Pizza/Italian,A
50056355,MAZAG,40.7662347,-73.9132949,Middle Eastern,A
40397243,CAFFE GRAZIE,40.779508,-73.960077,Italian,A
50041493,THAI MAX,40.8636013,-73.8270178,Thai,C
40364220,KOSHER BAGEL HOLE,40.6253268,-73.9615132,Jewish/Kosher,A
50036692,MILK N' HONEY,40.7093724,-74.0099748,Jewish/Kosher,A
41050702,CHRIS SUPER DELI,40.8270632,-73.9209254,Delicatessen,A
50006200,PAPA JOHN'S,40.8345799,-73.85071,Pizza,A
41645110,SILVER PALACE,40.8230441,-73.9525362,Chinese,A
40980061,JOHN'S LUNCHEONETTE,40.8789712,-73.8733088,American,A
41698598,LULU JUICY FRUIT,40.8122012,-73.9033448,"Juice, Smoothies, Fruit Salads",A
41132647,CURRY DREAM,40.7526713,-73.98517,Indian,A
50010210,HARU,40.7572817,-73.9874019,Japanese,A
41004014,WOODHAVEN HOUSE,40.721802,-73.8673254,Irish,A
50040568,PACKSUN HALAL CHICKEN,40.8339714,-73.8523307,Bangladeshi,A
41379907,JASLOWICZANKA POLISH BAKERY,40.725185,-73.9468144,Bakery,A
40562839,JEAN GEORGES,40.7690691,-73.9815601,French,A
41215188,DE MOLE,40.7393096,-73.9202272,Mexican,A
41078097,HAE WOON DAE RESTAURANT,40.745693,-73.889588,Korean,B
41520990,WORLD BEAN,40.7769271,-73.8739659,CoffeeTea,A
50006298,BLACKWELLS,40.7540623,-73.9727391,American,A
41434866,BELLA VITA,40.757095,-73.98709,Pizza,B
41636384,BELL DINER,40.7409415,-73.7585801,American,A
41441326,KEG AND LANTERN TAVERN,40.7240508,-73.9503414,Irish,B
50051356,COTE SOLEIL,40.7459191,-73.9139359,French,A
50002807,DUNKIN' DONUTS,40.8625345,-73.9008859,Donuts,A
40787054,BOSTON MARKET,40.7200423,-73.8445658,American,A
41204680,SUSHI VILLAGE,40.767623,-73.79106,Japanese,A
41601137,SANTOS RESTAURANT,40.6246292,-73.9942529,Mexican,A
50012068,GREGORY'S COFFEE,40.74649,-73.982578,CoffeeTea,A
40393855,MULDOONS BAR,40.7518694,-73.9738783,Irish,A
41096631,KELLY'S PUB,40.8957815,-73.8760497,American,A
40941849,LA GRAN VIA BAKERY,40.64766,-74.008012,Bakery,A
41115745,RACHEL'S,40.6703129,-73.9856331,Mexican,A
50005552,MJ PIZZA,40.7867022,-73.941971,Pizza,A
41499963,SAPID INDIAN RESTAURANT,40.6797574,-73.9639365,Indian,B
50013242,SNACK BOSS,40.8569937,-73.802249,American,A
50042421,LUFTHANSA SENATOR LOUNGE,50.044834,8.5666242,American,A
50009512,THE EDDY,40.7264801,-73.9866274,American,A
40881088,SODA BAR,40.6782261,-73.9684836,American,C
